Postal_Code,Name,Median_Household_Income
CA,Fresno County,"43,338"
CA,Glenn County,"43,755"
CA,Humboldt County,"40,581"
CA,Imperial County,"38,737"
CA,Inyo County,"49,267"
CA,Kern County,"47,451"
CA,Kings County,"44,490"
CA,Lake County,"36,333"
CA,Lassen County,"49,995"
CA,Los Angeles County,"55,686"
CA,Madera County,"43,171"
CA,Marin County,"94,549"
CA,Mariposa County,"47,781"
CA,Mendocino County,"42,840"
CA,Merced County,"43,818"
CA,Modoc County,"39,172"
CA,Mono County,"59,181"
CA,Monterey County,"57,428"
CA,Napa County,"71,063"
CA,Nevada County,"57,118"
CA,Orange County,"76,061"
CA,Placer County,"75,689"
CA,Plumas County,"47,964"
CA,Riverside County,"56,877"
CA,Sacramento County,"55,803"
CA,San Benito County,"68,166"
CA,San Bernardino County,"51,951"
CA,San Diego County,"66,034"
CA,San Francisco County,"83,788"
CA,San Joaquin County,"51,527"
CA,San Luis Obispo County,"61,775"
CA,San Mateo County,"100,806"
CA,Santa Barbara County,"62,116"
CA,Santa Clara County,"97,219"
CA,Santa Cruz County,"64,257"
CA,Shasta County,"43,661"
CA,Sierra County,"47,293"
CA,Siskiyou County,"38,641"
CA,Solano County,"67,106"
CA,Sonoma County,"66,949"
CA,Stanislaus County,"50,917"
CA,Sutter County,"51,827"
CA,Tehama County,"40,782"
CA,Trinity County,"34,961"
CA,Tulare County,"42,360"
CA,Tuolumne County,"49,476"
CA,Ventura County,"74,967"
CA,Yolo County,"54,509"
CA,Yuba County,"41,403"
CO,Colorado,"61,324"
CO,Adams County,"59,316"
CO,Alamosa County,"38,140"
CO,Arapahoe County,"65,359"
CO,Archuleta County,"44,508"
CO,Baca County,"36,294"
CO,Bent County,"35,424"
CO,Boulder County,"71,546"
CO,Broomfield County,"85,885"
CO,Chaffee County,"48,840"
CO,Cheyenne County,"52,273"
CO,Clear Creek County,"69,115"
CO,Conejos County,"33,998"
CO,Costilla County,"27,882"
CO,Crowley County,"32,570"
CO,Custer County,"48,368"
CO,Delta County,"45,283"
CO,Denver County,"54,872"
CO,Dolores County,"44,235"
CO,Douglas County,"107,250"
CO,Eagle County,"76,661"
CO,Elbert County,"83,603"
CO,El Paso County,"59,286"
CO,Fremont County,"41,385"
CO,Garfield County,"62,529"
CO,Gilpin County,"64,752"
CO,Grand County,"59,379"
CO,Gunnison County,"48,940"
CO,Hinsdale County,"51,241"
CO,Huerfano County,"32,750"
CO,Jackson County,"45,073"
CO,Jefferson County,"70,687"
CO,Kiowa County,"42,310"
CO,Kit Carson County,"46,394"
CO,Lake County,"46,765"
CO,La Plata County,"60,658"
CO,Larimer County,"57,659"
CO,Las Animas County,"39,625"
CO,Lincoln County,"41,248"
CO,Logan County,"45,439"
CO,Mesa County,"50,106"
CO,Mineral County,"51,257"
CO,Moffat County,"56,193"
CO,Montezuma County,"44,163"
CO,Montrose County,"46,336"
CO,Morgan County,"47,631"
CO,Otero County,"33,043"
CO,Ouray County,"57,242"
CO,Park County,"58,487"
CO,Phillips County,"47,006"
CO,Pitkin County,"73,274"
CO,Prowers County,"39,184"
CO,Pueblo County,"41,382"
CO,Rio Blanco County,"63,184"
CO,Rio Grande County,"40,593"
CO,Routt County,"66,846"
CO,Saguache County,"31,227"
CO,San Juan County,"40,006"
CO,San Miguel County,"59,603"
CO,Sedgwick County,"44,562"
CO,Summit County,"68,352"
CO,Teller County,"62,380"
CO,Washington County,"45,784"
CO,Weld County,"61,501"
CO,Yuma County,"46,838"
CT,Connecticut,"70,007"
CT,Fairfield County,"85,336"
CT,Hartford County,"65,809"
CT,Litchfield County,"73,413"
CT,Middlesex County,"76,365"
CT,New Haven County,"60,387"
CT,New London County,"65,813"
CT,Tolland County,"78,653"
CT,Windham County,"57,547"
DE,Delaware,"59,853"
DE,Kent County,"54,271"
DE,New Castle County,"64,632"
DE,Sussex County,"53,316"
DC,District of Columbia,"69,992"
DC,District of Columbia,"69,992"
FL,Florida,"47,439"
FL,Alachua County,"44,325"
FL,Baker County,"47,121"
FL,Bay County,"44,800"
FL,Bradford County,"39,980"
FL,Brevard County,"47,973"
FL,Broward County,"51,485"
FL,Calhoun County,"35,256"
FL,Charlotte County,"43,242"
FL,Citrus County,"36,383"
FL,Clay County,"58,539"
FL,Collier County,"58,403"
FL,Columbia County,"38,484"
FL,DeSoto County,"36,945"
FL,Dixie County,"32,121"
FL,Duval County,"46,013"
FL,Escambia County,"46,139"
FL,Flagler County,"51,556"
FL,Franklin County,"36,788"
FL,Gadsden County,"35,849"
FL,Gilchrist County,"40,788"
FL,Glades County,"38,783"
FL,Gulf County,"38,419"
FL,Hamilton County,"31,734"
FL,Hardee County,"35,371"
FL,Hendry County,"38,494"
FL,Hernando County,"40,094"
FL,Highlands County,"35,787"
FL,Hillsborough County,"50,758"
FL,Holmes County,"35,651"
FL,Indian River County,"47,548"
FL,Jackson County,"36,876"
FL,Jefferson County,"40,205"
FL,Lafayette County,"38,071"
FL,Lake County,"46,895"
FL,Lee County,"49,147"
FL,Leon County,"45,463"
FL,Levy County,"37,433"
FL,Liberty County,"38,473"
FL,Madison County,"33,017"
FL,Manatee County,"51,673"
FL,Marion County,"39,860"
FL,Martin County,"55,472"
FL,Miami-Dade County,"42,754"
FL,Monroe County,"57,411"
FL,Nassau County,"56,728"
FL,Okaloosa County,"55,952"
FL,Okeechobee County,"37,065"
FL,Orange County,"47,069"
FL,Osceola County,"42,945"
FL,Palm Beach County,"52,225"
FL,Pasco County,"45,219"
FL,Pinellas County,"45,162"
FL,Polk County,"42,768"
FL,Putnam County,"32,054"
FL,St. Johns County,"66,560"
FL,St. Lucie County,"42,722"
FL,Santa Rosa County,"58,587"
FL,Sarasota County,"52,109"
FL,Seminole County,"56,443"
FL,Sumter County,"51,907"
FL,Suwannee County,"38,177"
FL,Taylor County,"36,374"
FL,Union County,"40,207"
FL,Volusia County,"40,881"
FL,Wakulla County,"51,642"
FL,Walton County,"46,867"
FL,Washington County,"36,482"
GA,Georgia,"49,240"
GA,Appling County,"36,642"
GA,Atkinson County,"31,740"
GA,Bacon County,"34,201"
GA,Baker County,"43,115"
GA,Baldwin County,"37,008"
GA,Banks County,"46,018"
GA,Barrow County,"49,698"
GA,Bartow County,"51,440"
GA,Ben Hill County,"31,081"
GA,Berrien County,"35,078"
GA,Bibb County,"36,014"
GA,Bleckley County,"40,454"
GA,Brantley County,"36,865"
GA,Brooks County,"32,903"
GA,Bryan County,"66,556"
GA,Bulloch County,"36,315"
GA,Burke County,"35,055"
GA,Butts County,"41,505"
GA,Calhoun County,"30,760"
GA,Camden County,"51,793"
GA,Candler County,"31,829"
GA,Carroll County,"43,442"
GA,Catoosa County,"50,728"
GA,Charlton County,"34,312"
GA,Chatham County,"50,154"
GA,Chattahoochee County,"45,933"
GA,Chattooga County,"34,830"
GA,Cherokee County,"71,168"
GA,Clarke County,"31,487"
GA,Clay County,"27,512"
GA,Clayton County,"42,985"
GA,Clinch County,"31,577"
GA,Cobb County,"66,970"
GA,Coffee County,"33,125"
GA,Colquitt County,"33,509"
GA,Columbia County,"68,067"
GA,Cook County,"32,408"
GA,Coweta County,"60,809"
